id,question,answer,text,exp
91,1109-1116-1123-?,1130,,(each time +7)
92,3-6-12-24-?,48,,(each time x2)
93,2-7-12-17-?,22,,(each time +5)
94,1-1-2-3-5-?,8,,(each time the sum of the last 2 numbers)
95,65536-256-16-?,4,,(each time the square root)
96,5-6-8-11-?,15,,(each time +1 extra)
97,93-74-57-42-29-?,18,,(each time -2 extra)
98,16-22-34-52-76-?,106,,(each time +6 extra)
99,4-8-5-10-7-?,13,,(each time +1 extra and then -3)
100,30-28-25-21-16-?,10,,(each time -1 extra)
101,0-1-3-6-10-?,15,,(each time +1 extra)
102,17-40-61-80-97-?,112,,(each time +2 less)
103,4-5-7-11-19-?,35,,(each time + 2 times as much)
104,7-21-14-42-28-?,84,,(alternating sequences; both x2)
105,16-22-34-58-106-?,202,,(each time + 2 times as much)
106,123-135-148-160-173-?,185,,(each time alternating +12 and +13)
107,1-2-6-24-120-?,720,,(each time x1 extra)
108,6-11-15-18-?,20,,(each time +1 less)
109,259-131-67-35-19-?,11,,(each time - half of the last difference)
110,3-3-6-9-?,15,,(each time the sum of the last 2 numbers)
111,1-4-7-10-?,13,,(each time +3)
112,2-4-9-11-16-?,18,,(each time alternating +2 en +5)
113,8-6-7-5-6-4-?,5,,(each time alternating -2 en +1)
114,3968-63-8-3-?,2,,(each time +1 and then the square root)
115,21-20-18-15-11-?,6,,(each time -1 extra)
116,1-2-10-20-100-?,200,,(alternating sequences; both x10)
117,756-768-780-?,792,,(each time +12)
118,17-34-68-?,136,,(each time x2)
119,8-17-26-35-?,44,,(each time +9)
120,4-2-6-8-14-?,22,,(each time the sum of the last 2 numbers)
121,6561-81-9-?,3,,(each time the square root)
122,8-14-21-29-?,38,,(each time +1 extra)
123,25-24-22-19-?,15,,(each time -2 extra)
124,16-20-28-40-56-?,76,,(each time +4 extra)
125,3-8-6-12-10-?,17,,(each time +1 extra and then -2)
126,19-17-14-10-?,5,,(each time -1 extra)
127,0-2-5-9-14-?,20,,(each time +1 extra)
128,0.3-0.5-0.8-1.2-1.7-?,2.3,,(each time +0.1 extra)
129,183-305-527-749-961-?,183,,(each time +2 on each seperate integer)
130,0-9-36-81-144-?,225,,(each time /3 then +3 and then square)
131,1-5-14-30-55-?,91,,(1^2 + 2^2 + 3^2 ...)